CryoSleep,Age,VIP,Transported,Group,Total_Expense,Num,HomePlanet_Europa,HomePlanet_Mars,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_S
1,55.0,0,0,44,0.0,3,0,0,0,1,0,0,0,0,0,1,0,0
1,4.0,0,1,44,0.0,3,0,0,0,0,0,0,0,0,0,1,0,0
1,21.0,0,1,44,0.0,3,0,0,1,0,0,0,0,0,0,1,0,0
0,21.0,0,0,45,1214.0,10,0,1,0,1,0,0,0,0,1,0,0,0
1,19.0,0,1,45,0.0,10,0,1,0,1,0,0,0,0,1,0,0,0
0,35.0,0,0,50,790.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,56.0,0,0,51,1618.0,2,0,0,0,1,0,0,0,1,0,0,0,1
0,23.0,0,0,52,4689.0,6,0,0,0,1,0,0,0,0,0,1,0,1
0,25.0,0,1,53,1939.0,11,0,0,0,1,0,0,0,0,1,0,0,1
0,2.0,0,1,56,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1
1,38.0,0,1,56,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1
0,27.0,0,1,56,4547.0,1,1,0,0,1,0,0,0,0,0,0,0,1
1,36.0,0,0,58,0.0,7,0,0,1,0,0,0,0,0,0,1,0,1
0,22.0,0,0,61,2667.0,12,0,0,0,1,0,0,0,0,1,0,0,1
0,62.0,0,0,62,634.0,13,0,0,0,1,0,0,0,0,1,0,0,1
1,15.0,0,1,64,0.0,14,0,1,0,1,0,0,0,0,1,0,0,1
1,33.0,0,1,64,0.0,3,0,1,0,1,0,0,0,1,0,0,0,1
0,62.0,0,0,66,811.0,6,0,0,0,1,0,0,0,0,0,1,0,0
1,0.0,0,1,67,0.0,10,0,0,1,0,0,0,0,0,0,1,0,1
0,18.0,0,1,67,705.0,10,0,0,0,1,0,0,0,0,0,1,0,1
0,21.0,0,0,67,2007.0,15,0,0,0,0,0,0,0,0,1,0,0,1
0,28.0,0,0,68,1048.0,4,0,1,0,1,0,0,0,1,0,0,0,1
0,42.0,0,1,69,902.0,16,0,0,0,1,0,0,0,0,1,0,0,1
0,19.0,0,0,70,922.0,13,0,0,0,1,0,0,0,0,1,0,0,0
0,17.0,0,0,71,2233.0,14,0,0,0,1,0,0,0,0,1,0,0,0
0,14.0,0,0,72,1064.0,17,0,0,0,1,0,0,0,0,1,0,0,1
0,37.0,0,0,73,879.0,3,0,1,1,0,0,0,1,0,0,0,0,0
0,42.0,0,1,74,8904.0,3,1,0,0,1,0,1,0,0,0,0,0,1
0,27.0,0,1,76,1165.0,18,0,1,0,1,0,0,0,0,1,0,0,1
0,28.0,0,1,77,1309.0,15,0,1,0,1,0,0,0,0,1,0,0,0
0,38.0,0,0,78,15815.0,4,1,0,0,1,0,1,0,0,0,0,0,1
1,13.0,0,0,81,0.0,13,0,0,0,1,0,0,0,0,0,1,0,1
0,42.0,0,0,82,7406.0,16,0,1,0,1,0,0,0,0,1,0,0,0
1,2.0,0,1,82,0.0,16,0,1,0,1,0,0,0,0,1,0,0,0
0,8.0,0,1,82,0.0,16,0,1,0,1,0,0,0,0,1,0,0,0
0,24.0,0,1,84,705.0,14,0,0,0,1,0,0,0,0,0,1,0,1
1,40.0,0,1,85,0.0,5,1,0,0,1,0,1,0,0,0,0,0,1
0,43.0,0,0,86,1362.0,17,0,0,0,1,0,0,0,0,1,0,0,0
1,45.0,0,1,88,0.0,5,0,1,1,0,0,0,0,1,0,0,0,1
1,35.0,0,1,90,0.0,15,0,0,0,1,0,0,0,0,0,1,0,1
1,26.0,0,1,91,0.0,16,0,0,0,1,0,0,0,0,0,1,0,1
0,27.0,0,0,91,917.0,20,0,0,0,1,0,0,0,0,1,0,0,1
0,19.0,0,0,92,705.0,9,0,0,0,1,0,0,0,0,0,1,0,0
1,0.0,0,1,92,0.0,9,0,0,0,1,0,0,0,0,0,1,0,0
1,3.0,0,1,92,0.0,9,0,0,0,1,0,0,0,0,0,1,0,0
0,54.0,0,0,97,1848.0,2,1,0,0,1,0,0,0,0,0,0,0,1
0,26.0,0,0,98,893.0,11,0,0,0,1,0,0,0,0,0,1,0,0
0,26.0,0,1,98,3855.0,11,0,0,0,1,0,0,0,0,0,1,0,0
0,23.0,0,0,99,1301.0,19,0,0,1,0,0,0,0,0,1,0,0,0
1,2.0,0,1,99,0.0,12,0,0,0,1,0,0,0,0,0,1,0,0
1,31.0,0,1,101,0.0,55,0,1,0,1,0,0,1,0,0,0,0,0
0,18.0,0,0,102,921.0,23,0,0,0,1,0,0,0,0,1,0,0,1
0,24.0,0,1,103,17.0,24,0,0,0,1,0,0,0,0,1,0,0,1
1,9.0,0,1,103,0.0,18,0,0,0,0,0,0,0,0,0,1,0,1
1,6.0,0,0,103,0.0,18,0,0,0,1,0,0,0,0,0,1,0,1
0,27.0,0,0,105,703.0,21,0,0,0,1,0,0,0,0,1,0,0,0
0,21.0,0,0,107,1765.0,2,0,1,0,1,0,0,1,0,0,0,0,1
1,23.0,0,0,108,0.0,19,0,0,0,1,0,0,0,0,0,1,0,1
0,31.0,0,0,108,888.0,19,0,0,0,1,0,0,0,0,0,1,0,1
0,0.0,0,1,108,0.0,19,0,0,0,1,0,0,0,0,0,1,0,1
0,32.0,0,0,110,5109.0,5,1,0,0,1,1,0,0,0,0,0,0,0
0,40.0,0,0,110,2018.0,5,1,0,0,1,1,0,0,0,0,0,0,0
0,42.0,0,1,110,15940.0,5,1,0,0,1,1,0,0,0,0,0,0,0
1,28.0,0,1,110,0.0,5,1,0,0,1,1,0,0,0,0,0,0,0
1,29.0,0,1,111,0.0,6,1,0,0,1,0,0,0,1,0,0,0,1
0,48.0,1,1,112,2654.0,1,1,0,0,0,1,0,0,0,0,0,0,1
0,64.0,0,1,113,804.0,23,0,0,0,1,0,0,0,0,1,0,0,0
0,27.0,0,0,114,907.0,20,0,0,0,1,0,0,0,0,0,1,0,1
1,26.0,0,1,115,0.0,24,0,1,0,1,0,0,0,0,1,0,0,0
0,33.0,0,1,116,2640.0,4,1,0,0,1,0,0,1,0,0,0,0,0
0,39.0,0,0,119,9307.0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,13.0,0,1,119,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,24.0,0,1,120,0.0,25,0,1,0,1,0,0,0,0,1,0,0,0
0,29.0,0,0,122,773.0,21,0,0,0,1,0,0,0,0,0,1,0,1
0,18.0,0,0,123,702.0,27,0,0,0,1,0,0,0,0,1,0,0,0
1,67.0,0,1,126,0.0,27,0,1,0,1,0,0,0,0,1,0,0,1
0,35.0,0,0,127,1022.0,7,0,1,0,1,0,0,0,1,0,0,0,1
0,61.0,1,0,128,3014.0,3,0,1,0,1,0,0,1,0,0,0,0,1
0,45.0,0,0,128,2109.0,8,0,1,0,1,0,0,0,1,0,0,0,1
1,22.0,0,1,129,0.0,22,0,0,1,0,0,0,0,0,0,1,0,1
1,19.0,0,1,133,0.0,29,0,1,0,1,0,0,0,0,1,0,0,1
0,36.0,0,0,133,2738.0,5,0,1,0,1,0,0,1,0,0,0,0,1
0,19.0,0,1,134,744.0,17,0,0,0,1,0,0,0,0,0,1,0,0
0,47.0,0,0,136,721.0,23,0,0,1,0,0,0,0,0,0,1,0,1
1,13.0,0,1,138,0.0,18,0,0,0,1,0,0,0,0,0,1,0,0
0,34.0,0,0,138,793.0,5,0,0,0,1,0,0,0,1,0,0,0,0
1,35.0,0,1,139,0.0,6,1,0,0,0,0,1,0,0,0,0,0,1
1,24.0,0,1,140,0.0,19,0,0,0,1,0,0,0,0,0,1,0,0
0,26.0,0,0,140,902.0,29,0,0,0,1,0,0,0,0,1,0,0,0
0,31.0,0,0,141,102.0,30,0,1,0,1,0,0,0,0,1,0,0,0
0,20.0,0,1,144,630.0,31,0,0,0,1,0,0,0,0,1,0,0,1
0,56.0,0,0,146,0.0,25,0,0,0,1,0,0,0,0,0,1,0,1
1,50.0,0,1,147,0.0,26,0,0,0,1,0,0,0,0,0,1,0,1
0,42.0,0,0,148,1158.0,31,0,1,0,1,0,0,0,0,1,0,0,0
1,23.0,0,1,149,0.0,27,0,0,0,0,0,0,0,0,0,1,0,1
1,38.0,0,0,151,0.0,20,0,0,0,0,0,0,0,0,0,1,0,0
0,41.0,0,0,152,607.0,32,0,0,0,0,0,0,0,0,1,0,0,0
0,22.0,0,0,160,4180.0,22,0,0,0,1,0,0,0,0,0,1,0,0
1,26.0,0,1,163,0.0,8,1,0,0,1,1,0,0,0,0,0,0,0
1,17.0,0,1,163,0.0,8,1,0,0,1,1,0,0,0,0,0,0,0
0,57.0,0,1,164,1873.0,28,0,0,0,1,0,0,0,0,0,1,0,1
1,17.0,0,0,164,0.0,28,0,0,1,0,0,0,0,0,0,1,0,1
1,35.0,0,1,165,0.0,37,0,1,0,1,0,0,0,0,1,0,0,0
1,13.0,0,1,167,0.0,35,0,1,0,1,0,0,0,0,1,0,0,1
0,27.0,0,0,167,1572.0,35,0,1,0,1,0,0,0,0,1,0,0,1
1,31.0,0,0,169,0.0,23,0,0,0,1,0,0,0,0,0,1,0,0
0,24.0,0,0,170,788.0,10,0,0,0,1,0,0,0,1,0,0,0,1
1,19.0,0,1,171,0.0,30,0,0,1,0,0,0,0,0,0,1,0,1
1,32.0,0,1,172,0.0,24,0,0,0,1,0,0,0,0,0,1,0,0
0,58.0,0,1,173,990.0,11,0,0,0,1,0,0,0,1,0,0,0,1
0,21.0,0,0,174,593.0,38,0,0,0,0,0,0,0,0,1,0,0,0
0,38.0,0,0,177,27428.0,2,1,0,0,1,1,0,0,0,0,0,0,1
0,38.0,0,0,178,3722.0,6,0,1,0,1,0,0,1,0,0,0,0,1
0,19.0,0,1,179,906.0,26,0,0,0,1,0,0,0,0,0,1,0,0
0,0.0,0,0,179,0.0,26,0,0,0,1,0,0,0,0,0,1,0,0
0,3.0,0,1,179,0.0,26,0,0,0,1,0,0,0,0,0,1,0,0
0,20.0,0,0,181,394.0,27,0,0,0,1,0,0,0,0,0,1,0,0
1,24.0,0,1,182,0.0,3,1,0,0,1,0,1,0,0,0,0,0,0
0,37.0,0,1,183,821.0,36,0,0,0,1,0,0,0,0,1,0,0,1
0,25.0,0,0,186,1018.0,28,0,0,0,1,0,0,0,0,0,1,0,0
1,56.0,0,1,188,0.0,31,0,0,0,1,0,0,0,0,0,1,0,1
0,49.0,0,0,189,788.0,8,0,0,0,0,0,0,0,1,0,0,0,0
1,11.0,0,0,190,0.0,32,0,0,0,0,0,0,0,0,0,1,0,1
1,1.0,0,1,192,0.0,29,0,0,0,1,0,0,0,0,0,1,0,0
0,8.0,0,0,192,0.0,29,0,0,0,1,0,0,0,0,0,1,0,0
0,39.0,0,0,192,908.0,29,0,0,0,1,0,0,0,0,0,1,0,0
1,2.0,0,1,193,0.0,41,0,1,0,1,0,0,0,0,1,0,0,0
0,23.0,0,0,193,1085.0,41,0,1,0,1,0,0,0,0,1,0,0,0
0,0.0,0,1,193,0.0,41,0,1,0,1,0,0,0,0,1,0,0,0
0,39.0,0,1,195,1273.0,42,0,1,0,1,0,0,0,0,1,0,0,0
0,25.0,0,0,196,1778.0,5,0,1,1,0,0,0,1,0,0,0,0,0
0,36.0,0,0,197,2342.0,5,1,0,0,1,0,1,0,0,0,0,0,0
1,52.0,0,1,198,0.0,30,0,0,1,0,0,0,0,0,0,1,0,0
1,18.0,0,0,199,0.0,33,0,0,0,1,0,0,0,0,0,1,0,1
1,15.0,0,1,200,0.0,31,0,0,0,1,0,0,0,0,0,1,0,0
1,35.0,0,1,201,0.0,3,1,0,0,1,1,0,0,0,0,0,0,1
1,47.0,0,1,201,0.0,3,1,0,0,1,1,0,0,0,0,0,0,1
1,45.0,0,1,202,0.0,9,1,0,0,0,1,0,0,0,0,0,0,0
0,33.0,0,1,202,3754.0,2,1,0,0,0,0,0,0,0,0,0,0,0
1,51.0,0,1,203,0.0,8,1,0,0,1,0,1,0,0,0,0,0,1
0,29.0,0,0,205,773.0,34,0,0,0,1,0,0,0,0,0,1,0,1
0,33.0,0,1,206,2981.0,9,1,0,0,0,0,1,0,0,0,0,0,1
1,19.0,0,0,207,0.0,32,0,0,1,0,0,0,0,0,0,1,0,0
1,24.0,0,1,210,0.0,6,1,0,0,0,0,0,1,0,0,0,0,0
0,29.0,0,1,211,1040.0,44,0,1,0,1,0,0,0,0,1,0,0,0
1,11.0,0,1,211,0.0,44,0,1,0,1,0,0,0,0,1,0,0,0
0,17.0,0,0,211,1337.0,44,0,1,0,1,0,0,0,0,1,0,0,0
0,13.0,0,0,212,982.0,9,0,0,0,1,0,0,0,1,0,0,0,0
0,35.0,0,0,212,732.0,45,0,0,0,1,0,0,0,0,1,0,0,0
0,21.0,0,0,213,794.0,46,0,0,0,1,0,0,0,0,1,0,0,0
0,21.0,0,0,216,1974.0,40,0,0,0,0,0,0,0,0,1,0,0,1
0,38.0,0,0,217,1544.0,47,0,0,0,1,0,0,0,0,1,0,0,0
1,19.0,0,1,219,0.0,36,0,0,0,1,0,0,0,0,0,1,0,0
1,2.0,0,1,220,0.0,37,0,0,0,1,0,0,0,0,0,1,0,0
0,0.0,0,1,220,0.0,37,0,0,0,1,0,0,0,0,0,1,0,0
1,13.0,0,0,220,0.0,37,0,0,0,1,0,0,0,0,0,1,0,0
0,25.0,0,0,220,206.0,10,0,0,0,1,0,0,0,1,0,0,0,0
0,16.0,0,0,220,1102.0,48,0,0,0,1,0,0,0,0,1,0,0,0
0,1.0,0,0,220,0.0,37,0,0,0,0,0,0,0,0,0,1,0,0
1,15.0,0,1,220,0.0,37,0,0,0,1,0,0,0,0,0,1,0,0
0,21.0,0,0,221,2356.0,13,0,1,0,0,0,0,0,1,0,0,0,1
0,23.0,0,0,221,1298.0,13,0,1,0,1,0,0,0,1,0,0,0,1
0,33.0,0,0,221,2134.0,13,0,1,0,1,0,0,0,1,0,0,0,1
1,21.0,0,1,221,0.0,13,0,1,0,1,0,0,0,1,0,0,0,1
0,41.0,0,0,221,2597.0,13,0,1,0,1,0,0,0,1,0,0,0,1
0,16.0,0,0,221,1370.0,13,0,1,0,1,0,0,0,1,0,0,0,1
1,42.0,0,0,221,0.0,13,0,1,0,1,0,0,0,1,0,0,0,1
0,20.0,0,0,222,1417.0,41,0,1,0,1,0,0,0,0,1,0,0,1
1,24.0,0,1,222,0.0,41,0,1,0,1,0,0,0,0,1,0,0,1
1,16.0,0,1,222,0.0,14,0,1,0,1,0,0,0,1,0,0,0,1
0,21.0,0,0,223,676.0,35,0,0,0,1,0,0,0,0,0,1,0,1
0,32.0,1,0,224,1820.0,42,0,1,0,1,0,0,0,0,1,0,0,1
1,58.0,0,1,225,0.0,38,0,0,1,0,0,0,0,0,0,1,0,0
0,24.0,0,0,229,803.0,43,0,0,0,1,0,0,0,0,1,0,0,1
0,30.0,0,0,231,1806.0,44,0,1,0,1,0,0,0,0,1,0,0,1
1,27.0,0,0,232,0.0,36,0,0,1,0,0,0,0,0,0,1,0,1
0,32.0,0,0,233,1750.0,45,0,1,0,1,0,0,0,0,1,0,0,1
0,43.0,0,0,234,888.0,50,0,0,0,1,0,0,0,0,1,0,0,0
1,42.0,0,1,237,0.0,11,1,0,0,1,1,0,0,0,0,0,0,0
0,37.0,0,0,239,1048.0,332,0,1,0,1,0,0,0,1,0,0,0,0
1,35.0,0,1,240,0.0,52,0,1,0,1,0,0,0,0,1,0,0,0
0,33.0,0,0,241,7177.0,11,1,0,0,0,0,0,0,1,0,0,0,0
1,21.0,0,0,243,0.0,37,0,0,0,1,0,0,0,0,0,1,0,1
1,43.0,0,1,244,0.0,97,0,1,0,1,0,0,1,0,0,0,0,0
1,14.0,0,1,244,0.0,47,0,1,0,0,0,0,0,0,1,0,0,1
0,46.0,0,1,245,3578.0,6,1,0,0,0,0,1,0,0,0,0,0,0
0,33.0,0,0,245,12378.0,6,1,0,0,1,0,1,0,0,0,0,0,0
0,21.0,0,0,246,3261.0,8,0,1,0,1,0,0,1,0,0,0,0,0
0,33.0,0,0,248,9684.0,10,1,0,0,1,0,1,0,0,0,0,0,1
1,47.0,0,0,250,0.0,38,0,0,1,0,0,0,0,0,0,1,0,1
0,30.0,0,0,252,1571.0,53,0,0,0,1,0,0,0,0,1,0,0,0
0,29.0,0,0,253,888.0,42,0,0,0,1,0,0,0,0,0,1,0,0
0,21.0,0,1,254,1290.0,54,0,0,0,1,0,0,0,0,1,0,0,0
1,24.0,0,1,255,0.0,3,1,0,0,1,0,0,0,0,0,0,0,1
0,21.0,0,0,257,1664.0,49,0,1,0,0,0,0,0,0,1,0,0,1
1,60.0,0,1,257,0.0,49,0,1,0,1,0,0,0,0,1,0,0,1
0,22.0,0,0,258,704.0,50,0,0,0,1,0,0,0,0,1,0,0,1
0,26.0,0,0,260,7845.0,16,1,0,0,1,0,0,0,1,0,0,0,1
0,26.0,0,0,261,898.0,56,0,0,0,1,0,0,0,0,1,0,0,0
1,28.0,0,1,263,0.0,43,0,0,0,1,0,0,0,0,0,1,0,0
1,39.0,0,1,265,0.0,8,1,0,0,1,0,0,1,0,0,0,0,1
0,13.0,0,0,267,873.0,51,0,0,0,1,0,0,0,0,1,0,0,1
0,47.0,0,1,269,823.0,52,0,0,0,0,0,0,0,0,1,0,0,1
0,63.0,0,0,270,1393.0,59,0,0,0,1,0,0,0,0,1,0,0,0
1,33.0,0,1,275,0.0,9,1,0,0,0,0,0,1,0,0,0,0,1
0,50.0,0,1,277,2487.0,61,0,0,0,0,0,0,0,0,1,0,0,0
0,35.0,0,0,278,888.0,101,0,0,0,1,0,0,0,0,1,0,0,0
0,45.0,0,0,278,444.0,45,0,0,0,1,0,0,0,0,0,1,0,0
0,19.0,0,1,281,2078.0,63,0,0,0,1,0,0,0,0,1,0,0,0
0,21.0,0,1,282,918.0,54,0,0,0,1,0,0,0,0,1,0,0,1
1,29.0,0,1,283,0.0,46,0,0,1,0,0,0,0,0,0,1,0,0
0,22.0,0,1,283,803.0,64,0,0,0,1,0,0,0,0,1,0,0,0
1,14.0,0,1,285,0.0,16,1,0,0,1,0,0,0,1,0,0,0,0
1,42.0,0,1,285,0.0,16,1,0,0,0,0,0,0,1,0,0,0,0
0,57.0,0,0,286,1488.0,65,0,0,0,0,0,0,0,0,1,0,0,0
1,39.0,0,1,287,0.0,12,1,0,0,0,1,0,0,0,0,0,0,0
0,28.0,0,0,287,2085.0,12,1,0,0,1,1,0,0,0,0,0,0,0
0,19.0,0,0,288,828.0,55,0,0,0,0,0,0,0,0,1,0,0,1
1,19.0,0,1,289,0.0,12,1,0,0,0,0,1,0,0,0,0,0,1
0,26.0,0,1,290,5877.0,7,1,0,0,0,1,0,0,0,0,0,0,1
1,17.0,0,1,290,0.0,7,1,0,0,1,1,0,0,0,0,0,0,1
1,43.0,0,1,290,0.0,7,1,0,0,1,1,0,0,0,0,0,0,1
0,9.0,0,1,290,0.0,7,1,0,0,0,1,0,0,0,0,0,0,1
0,40.0,0,1,291,7678.0,10,1,0,0,1,0,0,1,0,0,0,0,1
1,50.0,0,1,294,0.0,8,1,0,0,1,1,0,0,0,0,0,0,1
0,24.0,0,1,297,1433.0,47,0,0,0,1,0,0,0,0,0,1,0,0
1,57.0,0,1,298,0.0,3,1,0,0,0,0,0,0,0,0,0,0,0
0,23.0,0,0,302,1385.0,67,0,0,0,1,0,0,0,0,1,0,0,0
1,23.0,0,1,303,0.0,41,0,0,0,1,0,0,0,0,0,1,0,1
0,28.0,0,0,304,7439.0,18,1,0,0,1,0,0,0,1,0,0,0,1
0,23.0,0,0,305,3073.0,7,1,0,0,0,0,1,0,0,0,0,0,0
0,23.0,0,0,306,904.0,19,0,0,0,1,0,0,0,1,0,0,0,1
0,18.0,0,1,307,1359.0,59,0,0,0,1,0,0,0,0,1,0,0,1
0,18.0,0,0,309,1357.0,60,0,0,0,1,0,0,0,0,1,0,0,1
0,67.0,0,0,310,4947.0,264,1,0,0,1,1,0,0,0,0,0,0,1
0,60.0,0,1,313,552.0,68,0,0,1,0,0,0,0,0,1,0,0,0
1,23.0,0,1,313,0.0,50,0,0,0,0,0,0,0,0,0,1,0,0
0,49.0,0,1,313,649.0,68,0,0,0,0,0,0,0,0,1,0,0,0
0,0.0,0,1,313,0.0,50,0,0,0,0,0,0,0,0,0,1,0,0
0,26.0,0,0,314,1790.0,51,0,0,0,0,0,0,0,0,0,1,0,0
1,35.0,0,1,315,0.0,42,0,0,1,0,0,0,0,0,0,1,0,1
0,24.0,0,1,316,2798.0,9,1,0,0,1,1,0,0,0,0,0,0,1
1,20.0,0,1,316,0.0,9,1,0,0,1,1,0,0,0,0,0,0,1
0,18.0,0,0,320,2.0,44,0,0,0,1,0,0,0,0,0,1,0,1
0,21.0,0,0,320,8.0,44,0,0,0,1,0,0,0,0,0,1,0,1
0,59.0,1,0,321,1227.0,61,0,1,0,1,0,0,0,0,1,0,0,1
1,13.0,0,0,322,0.0,45,0,0,1,0,0,0,0,0,0,1,0,1
1,43.0,0,0,324,0.0,53,0,0,0,0,0,0,0,0,0,1,0,0
1,29.0,0,0,326,0.0,47,0,0,0,1,0,0,0,0,0,1,0,1
0,19.0,0,1,327,803.0,1484,0,0,0,1,0,0,0,0,1,0,0,1
0,2.0,0,1,330,0.0,14,1,0,0,1,0,1,0,0,0,0,0,1
0,32.0,0,1,330,5146.0,14,1,0,0,1,0,1,0,0,0,0,0,1
0,33.0,0,0,330,2168.0,14,1,0,0,1,0,1,0,0,0,0,0,1
0,25.0,0,0,331,803.0,72,0,0,0,1,0,0,0,0,1,0,0,0
1,29.0,0,1,333,0.0,73,0,1,0,0,0,0,0,0,1,0,0,0
0,29.0,0,0,334,7404.0,62,0,1,0,1,0,0,0,0,1,0,0,1
0,44.0,0,0,336,712.0,74,0,0,0,1,0,0,0,0,1,0,0,0
1,2.0,0,1,337,0.0,63,0,1,0,0,0,0,0,0,1,0,0,1
0,19.0,0,1,337,2460.0,63,0,1,0,1,0,0,0,0,1,0,0,1
0,0.0,0,1,337,0.0,63,0,1,0,0,0,0,0,0,1,0,0,1
1,18.0,0,1,338,0.0,48,0,0,0,1,0,0,0,0,0,1,0,1
1,38.0,0,1,340,0.0,10,1,0,0,0,1,0,0,0,0,0,0,1
1,5.0,0,0,341,0.0,57,0,0,1,0,0,0,0,0,0,1,0,0
0,31.0,0,0,343,1302.0,76,0,0,1,0,0,0,0,0,1,0,0,0
1,30.0,0,0,345,0.0,21,0,1,0,1,0,0,0,1,0,0,0,1
1,15.0,0,1,346,0.0,59,0,0,0,0,0,0,0,0,0,1,0,0
0,27.0,0,0,347,1868.0,64,0,1,0,1,0,0,0,0,1,0,0,1
0,22.0,0,1,348,3223.0,12,0,1,0,1,0,0,1,0,0,0,0,0
0,36.0,0,1,348,2385.0,12,0,1,0,1,0,0,1,0,0,0,0,0
1,14.0,0,1,350,0.0,60,0,0,1,0,0,0,0,0,0,1,0,0
0,23.0,0,0,352,4976.0,78,0,1,0,1,0,0,0,0,1,0,0,0
1,18.0,0,1,355,0.0,1471,0,0,0,1,0,0,0,0,1,0,0,0
1,36.0,0,1,356,0.0,15,1,0,0,0,1,0,0,0,0,0,0,0
0,41.0,0,0,357,1894.0,65,0,0,0,1,0,0,0,0,1,0,0,1
1,50.0,0,1,358,0.0,50,0,0,0,1,0,0,0,0,0,1,0,1
1,32.0,0,1,358,0.0,50,0,0,1,0,0,0,0,0,0,1,0,1
0,26.0,0,0,359,689.0,66,0,0,1,0,0,0,0,0,1,0,0,1
0,15.0,0,0,360,715.0,67,0,0,0,1,0,0,0,0,1,0,0,1
0,33.0,0,1,361,733.0,68,0,0,0,0,0,0,0,0,1,0,0,1
0,23.0,0,0,365,706.0,51,0,0,0,0,0,0,0,0,0,1,0,1
0,26.0,0,0,368,7405.0,82,0,1,0,1,0,0,0,0,1,0,0,0
